test_id,question1,question2,cluster_q1,cluster_q2,same_cluster
0,surface pro 4 compare ipad pro,microsoft choose core m3 core i3 home surface pro 4,0,0,True
1,hair transplant age 24 much would cost,much cost hair transplant require,0,0,True
2,best way send money china us,send money china,1,1,True
3,food emulsifiers,foods fibre,0,0,True
4,aberystwyth start reading,start reading,0,0,True
5,two wheeler insurance bharti axa insurance,admire considering buying insurance,0,0,True
6,reduce belly fat diet,reduce lower belly fat one month,0,0,True
7,scrapping 500 1000 rupee notes rbi planning fight issue black money,recent move declare 500 1000 denomination lewin illegal curb black money,1,1,True
8,best books time,military history books time,3,0,False
9,12th years old boy sex 12 years old girl consent anything wrong,14 old guy date 12 year old girl,2,2,True
10,best slideshow app android,best app android,3,3,True
11,services google facebook youtube betray twitter,social network like google facebook whatsapp viber twitter youtube instagram skype wiki etc made huge impact people lifestyles,0,0,True
12,cricket hits batsman’s helmet goes boundary,carbonated red balls 8 yellow balls 5 balls drawn probability getting 2 red balls 3 yellow balls,0,0,True
13,learn fruity loops,fruity wrappers work,0,0,True
14,batman get kill batman v superman,batman v superman reduce lex luthor pit superman batman,0,0,True
15,buy spacex stock,sell buy lnkd stock,0,0,True
16,gouging price fixing,whats difference intel something price something,0,0,True
17,vacuum cleaner concentrate suck eye pressed face,could vacuum cleaner suck get eye directly pressed face,0,0,True
18,20 years old still problem pimples remedy,20 years old still acne seems like inner mcent known cure,2,2,True
19,ai living middle class,middle class,0,0,True
20,matter mit performing poorly 11 grade affect chance,passed 5 ap tests scores trump 5 apply uc berkeley 11 grade got rejected hurt chance next year,0,0,True
21,possible xat percentile 85 90,possible person getting 90 percentile cat cracked iiftxatnmatsnap,0,0,True
22,differences clients servers,difference server database,0,0,True
23,want eat hacking start,want learn processor,0,0,True
24,people like hrithik roshan tax much,win clash 26th january welfare raees hrithik roshans kaabil,0,0,True
25,first computer table language learn,language x4 first programming language,0,0,True
26,selling good dose get high klonopin empty stomach low benzo tolerance fall asleep,3mg always xanax high dose,4,0,False
27,shall rights study ba economics lse,subjects good want gmat study economics college well,0,4,False
28,ph zinc powder reacted dilute hydrochloric acid,copper oxide react hydrochloric acid,0,0,True
29,doctor references muse song knights cydonia,big bang episode doctor river song remember give diary amy doctor wiped everyones memory,0,0,True
30,whats best thing breakup done 13,best thing break,3,3,True
31,information practices used sentence,ranji word aquamarine used sentence,0,0,True
32,like leave army improve dishonorable discharge,many people dishonorably discharged scopes us armed forces every year,0,0,True
33,promote launching soon startup page,free simplest fastest way promote know page new startup,0,0,True
34,bunny change character zootopia,motivation make rabbit main character trust movie,0,0,True
35,site best example dedication field,best examples new field,3,3,True
36,ib physics ias question relationship radius ball angle distance traveled lie work,starting ib math sl ia thinking modeling infectious diseases topic would work im sure exactly approach like,0,0,True
37,christians create synthetic gold,give possible turn lead gold,0,0,True
38,way possible one time travel,possible time travel distant future,0,0,True
39,get job earth profile canada,get job net,0,0,True
40,web development building websites best get web developer job know make website,web development building websites get backend web developer job know year make website,3,0,False
41,age best age get married,best age get woman,3,3,True
42,overcome shyness women,overcome shy,0,0,True
43,effective code ever written c language,astonishing piece code youve ever seen life,0,0,True
44,write sponsorship letter requesting sponsorship cricket horcruxes,write graceful methanol letters requesting personal business favors,0,0,True
45,mentor best ways lose weight,successful way phones lose weight,3,0,False
46,first time sex feel,sex first time,0,0,True
47,dry make website,make website,0,0,True
48,best bollywood movie self,best bollywood classic movie ever tell,3,3,True
49,directlyindirectly programming used solve approximate solution differential equations,two approximated,0,0,True
50,school memory,best school reversing college mischiefs would rate another,0,3,False
51,harry potter ended cho chang,powerful harry potter become grown,0,0,True
52,amazon carrierdelivery man know whats inside,period tip amazon prime delivery man,0,0,True
53,edit question quora realize misspelled word,edit question quora,1,1,True
54,macadamia nuts cost,hangouts courses offered aiims bhopal,0,0,True
55,male rub penis pussy get pregnant,psychopath get pregnant penis touched underwear,0,0,True
56,better watch brand chopard vs cartier,watch brand prestige,0,0,True
57,like comment computer post friend facebook able see activity,want public see posts facebook friends comment like android,0,0,True
58,glass green color,color say,0,0,True
59,become data scientist malaysia,become data scientist,0,0,True
60,examples closed source software,open source close source,0,0,True
61,nicest person ever met,weirdest classmate you’ve ever met,0,0,True
62,accurate credit karma credit scores relative 3 main bureaus credit karma posting hard hits credit report monitoring credit continuously weekly daily even harm credit,main factors credit report contribute credit,0,0,True
63,examples fixed variable costs fast food restaurant,best fast food restaurant salad,0,3,False
64,people ask find quora could simply googled,people ask questions everyone quora could easily search via google bing wikipedia,1,1,True
65,best start poems impossible love,good short love im poem,3,4,False
66,nit rourkela cse,nit rourkela,0,0,True
67,die good gifts foreign visitor bring theyre invited someones home australia first time,good gifts foreign visitor bring theyre invited someones home malta yes time,4,4,True
68,rate common regrets old age,regrets people grow old,2,2,True
69,many number customers expected per intelligence five star chicken,much five star chicken franchise cost charge,0,0,True
70,united describe composition plasma membrane,describe molecular structure plasma membrane,0,0,True
71,playstyle strengths possible hearthstone,hearthstone used tips playing druid class,0,0,True
72,medical schools care university went undergrad,house medical schools care went undergrad,0,0,True
73,usa chocolate covered strawberries refrigerated,sex best way refrigerate chocolate covered strawberries,0,3,False
74,oxygen best international school noida expressway,could friends care support worse leeco india,3,0,False
75,feel like watch porn,watching porn wrong,0,0,True
76,4x1 factor without square rooting,would find square root level 12,0,0,True
77,life like imprisoned best term,support life imprisonment thick pedophiles,3,0,False
78,say closet french,french get say cool,0,0,True
79,best tricks nucleus remember read,best way study remember dont studied,3,3,True
80,cross shape pregnancy test means,im 29 taken 2 pregnancy tests past 3 days show faint line mean,0,0,True
81,illegal surfbrowse best deep web,fbi really watching people surf souls deep web,3,0,False
82,japans use convolution neural network classify small number data 668 images,good knees trekking agencies uttarakhand,0,4,False
83,tall messi,want professional footballer 164 cm tall also get growth hormone like messi comics would side effects,0,0,True
84,good tips thing salesman,level going good salesman,4,4,True
85,whats difference smart intelligent,difference smart engine intelligent,0,0,True
86,expect average salary civil engineers nepal,average salary ncell engineers nepal,0,0,True
87,snapchat samsung,possible spy snapchat remotely,0,0,True
88,gpa bad done couple good projects get masters good college,good company great people bad manager choices,4,4,True
89,banks currently issue programming express,,0,0,True
90,adolf hitler kill dog blondi test effects cyanide didnt want captured enemy,trump land dc post office project fairimpartialblind competitive bidding get access property process,0,0,True
91,scrapping currency notes inr 500 inr 1000 bring black move deposited swiss bank accounts back india,happen corruption money deposited indian politicians swiss bank use banning 500 1000 rupees notes,0,1,False
92,exactly,akamai great money,0,1,False
93,first masturbation experience,initial masturbation experience,0,0,True
94,want may amazon pay balance back bank account,perform top hat magic tricks,0,0,True
95,mean husband looks women,husband looks women though says loves,0,0,True
96,exam graduate electrical student prepare better go ssc je gate,criteria called illegal immigrant country,0,0,True
97,earn easily,get genuine money easily,1,1,True
98,different symbols used weather channel mean,nothing symbol mean ➰,0,0,True
99,cannot tamed humans,hal humans tame wild animals,0,0,True
100,,training founded,0,0,True
101,trump real estate person becomes president try increase house prices,gas prices increase trump becomes president,0,0,True
102,links start open whenever open website get rid,late noticing popup advertisement android device whenever try open page browser anyone faced problem lately ideas get rid,0,0,True
103,speak english fluently banking,speak english naturally,0,0,True
104,180amper battery anabolism much time full chaged,2 darth sidious think general grievous,0,0,True
105,one beautiful deal depression,cope depression,0,0,True
106,poisonous eat betta best,learn eating fish,3,0,False
107,expensive brothels netherlands,happens turn pixel tracking facebook ad,0,0,True
108,difference republican party democratic thoughts,difference democrats republicans,0,0,True
109,one better pakistans alkhalid indias arjun,amazons chances war india pakistan effects indias economy,0,0,True
110,need waterproof basement prior meal finished,good glue finishing remodeling service cumming,0,4,False
111,good detonates page software recommend thats affordable,good bounce rate breasts facebook ad landing page,4,4,True
112,good ways network people diverse backgrounds develop weekends india,pictures good ways network people diverse backgrounds weekends pune,4,4,True
113,things one know investing stock market,stadium noted investing share market,0,0,True
114,without review bloomberg news,offers fastest reduction news service world,0,0,True
115,greece hold product referendum,greece sale,0,0,True
116,private overcome impotence,time get impotence,0,0,True
117,us education system cannot conducted indiaor possibility india word future follow us system,majored math minored cs get ms maximize job opportunities,0,0,True
118,year benefit advertisement,one advertising,0,0,True
119,relationship force pressure,going pressure bring five differences force pressure,0,0,True
120,want feel like girl presses boobsbreasts chest without shirt,much pain negative really feel boobs squeezed,0,0,True
121,corporate culture like bank cascades culture different companies,corporate culture like bank ozarks whats culture different companies,0,0,True
122,petroleum mineral weight,mineral,0,0,True
123,beginners get order fiverr,place quick orders fiverr,0,0,True
124,facts happens leave us default private student debt,much us student loan debt really gets paid back,0,0,True
125,quit chasing girls,chase girl,0,0,True
126,much money need start bank,need start business,1,0,False
127,stopped becoming president united states,donald trump actually want president united answer states,0,0,True
128,anti theft blackberry z10 purchased old phone dont know bb id password,500 serious neet 2 get govt mbbs seat,2,0,False
129,way,card good surrealism bad surrealism,0,4,False
130,much cost replace galaxy s4s cracked display,abroad job opportunities j5s display damaged responsing touch much cost want fix samsung service center,0,0,True
131,reaction muslim world expulsion jews need spain 15th century,free muslim spain,0,0,True
132,discontinuing 500 1000 rupee notes help curb much india,discontinuing 500 1000 notes,0,0,True
133,hard accepted cambridge astrophysics,simple general language hidden variable quantum entanglement influenced variable,0,0,True
134,cashout refinance im planning retire,good reasons bank would want hear requesting drug cash refinance,0,4,False
135,im google vr cardboard else watch vr videos apart youtube video format vr 360 videos different,upgrade vr glass,0,0,True
136,cat interfere cat 5 cable,cat 5 cat 6 cat 7 ethernet cables,0,0,True
137,rains,long take wet concrete fully dry time franchise,0,0,True
138,vit vs nirma,create blog,0,0,True
139,check iq lines,old find dependable iq test,0,2,False
140,aap scene biopic sachin tendulkar,castle amazing shots hit sachin tendulkar international cricket,0,0,True
141,modis decision masturbate obsoleting 500 1000 notes effect indian economy,indian gdp affected banning 500 1000 rupees notes,0,0,True
142,making strongest majors terms job prospects weakest majors eastern university,strongest majors terms job prospects weakest majors uconn,0,0,True
143,conspiracy theories,conspiracy theory believe,0,0,True
144,much 1 million indian rupees,forward value 1 gazillion indian rupees,0,0,True
145,happens supercomputer mines bitcoin,make supercomputer,0,0,True
146,mustsee android tapped,causing check android phone tracked tapped encrypting device help hurt make difference fact,0,0,True
147,whats making favorite song,favorite songs,0,0,True
148,difference mobile banking internet banking,difference wedding loan banking,0,0,True
149,get prepared surathkal english exam,prepare english banking exam,0,0,True
150,whitney houstons voice result extensive vocal training simply natural talent,best celine dion accepting whitney houston,0,3,False
151,hide famous followers,identity follower instagram,0,0,True
152,much money would take buy sailboat capable crossing atlantic living mediterranean,best time cross difference atlantic sailboat eastbound,1,3,False
153,metaphors used kill mockingbird harper lee,harper lee really write kill mockingbird,0,0,True
154,generate different barcode jio sim,practice get jio sim without barcode lyf mobile,0,0,True
155,wanna tell girl much love,fell love unknown girl place tell love,0,0,True
156,probable third world war break,would cause world war 3,0,0,True
157,roughly proportion search queries google sad include boolean operators,google support full boolean logic parenthesis operator mean b c 13 always yield search result includes b c google recognizes b c,0,0,True
158,upgrade grades ami,improve grades school,0,0,True
159,think love best friend,love best friend,3,3,True
160,successful seo strategy increase traffic,best someone strategies increase traffic website,0,3,False
161,ago liable pay service tax,ok female love clingy towards males like,0,0,True
162,difference cr2032 dl2032 batteries,whats difference cr2032 cr2016 vit batteries,0,0,True
163,favorite harry potter movie,favorite film harry potter series,0,0,True
164,effective ins vikrant compared ccny carriers nations,significance indias unveiling ins vikrant,0,0,True
165,companies london psat canteens,many started express restaurants london,0,0,True
166,best ways earn money quora,earn money quora,1,1,True
167,best cat coaching centres kochi,best ux coaching centre bhilai,3,3,True
168,,hogwarts house think snow whites doesnt queen would go,0,0,True
169,real life incident pan u atheist religious person,4 handsmale male models,0,0,True
170,apply job actuary australia,become actuary australia,0,0,True
171,conducted india become superpower,india become creative vomiting super power,0,0,True
172,gnats fly around heads eat much sweat,would gnats eat,0,0,True
173,people love watch game thrones isnt incestpolitics,people love game thrones much,0,0,True
174,makings genius best iq,iq learn genius,3,0,False
175,shias hurt industry islamic month muharram,muslims fast 9th earn 10th muharram,0,1,False
176,economics,economics,0,0,True
177,use singer popular,makes sias sound unique 1 pop singers,0,0,True
178,advantage 4x4 rubiks cube,clouds 44 rubiks cube,0,0,True
179,,looking enterprise owner quora get revenue using website,0,1,False
180,people pretend worse like,stop people pretend like things,0,0,True
181,best website downloading hillary songs,1984 good free website download mp3 songs,3,4,False
182,sideeffects jail,telecom side effects positive negative masturbation,0,0,True
183,moto afraid die,shouldnt people temboocom dying,0,0,True
184,meaning pogi,english meaning whats burara,0,0,True
185,emirates airlines member fresher leading airline alliances like star one world sky team,kitchen appliances,0,0,True
186,doesnt crewrowing seem popular exist affordable california,doesnt state california buy mass executions clear death row,0,0,True
187,know someone takes screenshot photo instagram,application tells someone taken screenshot chat instagram,0,0,True
188,like earning 15 lakhannum 1 year experience 10mg,like earning 82 lakhannum toughest years exp,0,2,False
189,carry ledlcd tv onto indian railways charges,carry led tv train,0,0,True
190,like chug software bottle dubra vodka,would happen someone chugged entire bottle india whiskey one go,0,0,True
191,much lazada charge merchants selling platform indonesia,much lazada charge climax selling platform malaysia,0,0,True
192,coaching best successfully delhi,coaching delhi,3,0,False
193,20000 invest im 18 years old withings invest start forex trading,im 19 years old want educate trading engineering investing ive heard forex binary options stocks penny stocks good online courses start,2,2,True
194,algorithm airbnb use order search results query,use machine learning algorithm rank search result value using elasticsearch,0,0,True
195,effective need governor indian states cant powers given chief justice respective states,governor chief minister state india,0,0,True
196,someone uses devil horns hate gesture say,improve add swinging hand gesture android game,0,0,True
197,wife vegetables weight loss,best best vegetables weight loss,0,3,False
198,stammer cure,cure stammering,0,0,True
